listener,psi_star,alpha,c,switch_type,theta_star,mean_abias,abias_r150,std_150
cred,inf,3.0,3.5,soft,0.9,0.007373296433687233,1.6450881960228258e-07,1.7115698340965934e-05
cred,inf,5.0,2.0,hard,0.1,0.00672095474004745,5.789101123254703e-08,1.525515023290791e-05
cred,inf,5.0,2.0,hard,0.3,0.015025385517378649,4.73018884658849e-05,0.0009009465896815527
cred,inf,5.0,2.0,hard,0.5,0.01606019653181235,0.0001929256319999695,0.0016225077313720248
cred,inf,5.0,2.0,hard,0.7,0.015802853932380668,0.0012072799205779816,0.0015940494552341988
cred,inf,5.0,2.0,hard,0.9,0.006752742119630201,2.562999727562243e-08,4.38292580025923e-06
cred,inf,5.0,2.0,hard_amnesic,0.1,0.00672095474004745,5.789101123254703e-08,1.525515023290791e-05
cred,inf,5.0,2.0,hard_amnesic,0.3,0.015025385517378649,4.73018884658849e-05,0.0009009465896815527
cred,inf,5.0,2.0,hard_amnesic,0.5,0.01606019653181235,0.0001929256319999695,0.0016225077313720248
cred,inf,5.0,2.0,hard_amnesic,0.7,0.015802853932380668,0.0012072799205779816,0.0015940494552341988
cred,inf,5.0,2.0,hard_amnesic,0.9,0.006752742119630201,2.562999727562243e-08,4.38292580025923e-06
cred,inf,5.0,2.0,soft,0.1,0.00672095474004745,5.789101123254703e-08,1.525515023290791e-05
cred,inf,5.0,2.0,soft,0.3,0.015025385517378649,4.73018884658849e-05,0.0009009465896815527
cred,inf,5.0,2.0,soft,0.5,0.01606019653181235,0.0001929256319999695,0.0016225077313720248
cred,inf,5.0,2.0,soft,0.7,0.015802853932380668,0.0012072799205779816,0.0015940494552341988
cred,inf,5.0,2.0,soft,0.9,0.006752742119630201,2.562999727562243e-08,4.38292580025923e-06
cred,inf,5.0,3.5,hard,0.1,0.00672095474004745,5.789101123254703e-08,1.525515023290791e-05
cred,inf,5.0,3.5,hard,0.3,0.015025385517378649,4.73018884658849e-05,0.0009009465896815527
cred,inf,5.0,3.5,hard,0.5,0.01606019653181235,0.0001929256319999695,0.0016225077313720248
cred,inf,5.0,3.5,hard,0.7,0.015802853932380668,0.0012072799205779816,0.0015940494552341988
cred,inf,5.0,3.5,hard,0.9,0.006752742119630201,2.562999727562243e-08,4.38292580025923e-06
cred,inf,5.0,3.5,hard_amnesic,0.1,0.00672095474004745,5.789101123254703e-08,1.525515023290791e-05
cred,inf,5.0,3.5,hard_amnesic,0.3,0.015025385517378649,4.73018884658849e-05,0.0009009465896815527
cred,inf,5.0,3.5,hard_amnesic,0.5,0.01606019653181235,0.0001929256319999695,0.0016225077313720248
cred,inf,5.0,3.5,hard_amnesic,0.7,0.015802853932380668,0.0012072799205779816,0.0015940494552341988
cred,inf,5.0,3.5,hard_amnesic,0.9,0.006752742119630201,2.562999727562243e-08,4.38292580025923e-06
cred,inf,5.0,3.5,soft,0.1,0.00672095474004745,5.789101123254703e-08,1.525515023290791e-05
cred,inf,5.0,3.5,soft,0.3,0.015025385517378649,4.73018884658849e-05,0.0009009465896815527
cred,inf,5.0,3.5,soft,0.5,0.01606019653181235,0.0001929256319999695,0.0016225077313720248
cred,inf,5.0,3.5,soft,0.7,0.015802853932380668,0.0012072799205779816,0.0015940494552341988
cred,inf,5.0,3.5,soft,0.9,0.006752742119630201,2.562999727562243e-08,4.38292580025923e-06
cred,inf,10.0,2.0,hard,0.1,0.006746201628446575,8.188188075464175e-08,1.4971852516637573e-05
cred,inf,10.0,2.0,hard,0.3,0.012868046434322995,0.0009132378101348915,0.0009408353516664647
cred,inf,10.0,2.0,hard,0.5,0.015504281387726465,0.00032970845699310304,0.0017056577100083815
cred,inf,10.0,2.0,hard,0.7,0.01262838959693908,6.462013721464377e-05,0.0010290021833316131
cred,inf,10.0,2.0,hard,0.9,0.006123172267278058,9.834766390159899e-08,1.0710320340265867e-05
cred,inf,10.0,2.0,hard_amnesic,0.1,0.006746201628446575,8.188188075464175e-08,1.4971852516637573e-05
cred,inf,10.0,2.0,hard_amnesic,0.3,0.012868046434322995,0.0009132378101348915,0.0009408353516664647
cred,inf,10.0,2.0,hard_amnesic,0.5,0.015504281387726465,0.00032970845699310304,0.0017056577100083815
cred,inf,10.0,2.0,hard_amnesic,0.7,0.01262838959693908,6.462013721464377e-05,0.0010290021833316131
cred,inf,10.0,2.0,hard_amnesic,0.9,0.006123172267278058,9.834766390159899e-08,1.0710320340265867e-05
cred,inf,10.0,2.0,soft,0.1,0.006746201628446575,8.188188075464175e-08,1.4971852516637573e-05
cred,inf,10.0,2.0,soft,0.3,0.012868046434322995,0.0009132378101348915,0.0009408353516664647
cred,inf,10.0,2.0,soft,0.5,0.015504281387726465,0.00032970845699310304,0.0017056577100083815
cred,inf,10.0,2.0,soft,0.7,0.01262838959693908,6.462013721464377e-05,0.0010290021833316131
cred,inf,10.0,2.0,soft,0.9,0.006123172267278058,9.834766390159899e-08,1.0710320340265867e-05
cred,inf,10.0,3.5,hard,0.1,0.006746201628446575,8.188188075464175e-08,1.4971852516637573e-05
cred,inf,10.0,3.5,hard,0.3,0.012868046434322995,0.0009132378101348915,0.0009408353516664647
cred,inf,10.0,3.5,hard,0.5,0.015504281387726465,0.00032970845699310304,0.0017056577100083815
cred,inf,10.0,3.5,hard,0.7,0.01262838959693908,6.462013721464377e-05,0.0010290021833316131
cred,inf,10.0,3.5,hard,0.9,0.006123172267278058,9.834766390159899e-08,1.0710320340265867e-05
cred,inf,10.0,3.5,hard_amnesic,0.1,0.006746201628446575,8.188188075464175e-08,1.4971852516637573e-05
cred,inf,10.0,3.5,hard_amnesic,0.3,0.012868046434322995,0.0009132378101348915,0.0009408353516664647
cred,inf,10.0,3.5,hard_amnesic,0.5,0.015504281387726465,0.00032970845699310304,0.0017056577100083815
cred,inf,10.0,3.5,hard_amnesic,0.7,0.01262838959693908,6.462013721464377e-05,0.0010290021833316131
cred,inf,10.0,3.5,hard_amnesic,0.9,0.006123172267278058,9.834766390159899e-08,1.0710320340265867e-05
cred,inf,10.0,3.5,soft,0.1,0.006746201628446575,8.188188075464175e-08,1.4971852516637573e-05
cred,inf,10.0,3.5,soft,0.3,0.012868046434322995,0.0009132378101348915,0.0009408353516664647
cred,inf,10.0,3.5,soft,0.5,0.015504281387726465,0.00032970845699310304,0.0017056577100083815
cred,inf,10.0,3.5,soft,0.7,0.01262838959693908,6.462013721464377e-05,0.0010290021833316131
cred,inf,10.0,3.5,soft,0.9,0.006123172267278058,9.834766390159899e-08,1.0710320340265867e-05
cred,low,1.5,2.0,hard,0.1,0.039822407639523355,0.022126778289675707,0.015360972898910176
cred,low,1.5,2.0,hard,0.3,0.019038290200233454,0.002068591803312294,0.004242951052292483
cred,low,1.5,2.0,hard,0.5,0.06518419904708862,0.042315266728401184,0.02230025233584456
