score_type,round,emp_var_score,theo_var_naive,theo_var_corrected,ratio_naive,ratio_corrected
sus_3,7,0.6321050300397785,0.3199247825911963,0.0,1.9757926376322332,inf
sus_3,8,0.3709124307194008,0.33801476592964586,0.0,1.097326117393943,inf
sus_3,9,0.6614342939120769,0.34046820330350586,0.0,1.9427197238810876,inf
sus_3,10,0.5912987375945916,0.3331881403368284,0.0,1.7746692214099595,inf
sus_3,11,0.45714646817807125,0.31864600758066364,0.0,1.4346530548083107,inf
sus_3,12,0.5794099573692919,0.3305275163841626,0.0,1.7529855417418876,inf
sus_3,13,0.5897743432179648,0.3279066715209297,0.0,1.7986042811584593,inf
sus_3,14,0.5586683528704255,0.35275491872136305,0.0,1.583729448466489,inf
sus_3,15,0.5830142780453993,0.34283209268873976,0.0,1.7005825606143676,inf
sus_3,16,0.7210084097534748,0.3361109173011383,0.0,2.1451502246429204,inf
sus_3,17,0.6289612715329456,0.34616787407470256,0.0,1.8169255977728787,inf
sus_3,18,0.49568004148123207,0.3401584869404886,0.0,1.4572032170637925,inf
sus_3,19,0.4490625581354381,0.3452461177193985,0.0,1.3007027018922692,inf
sus_3,20,0.6584553026017319,0.34839787633870806,0.0,1.88995211314546,inf
sus_3,21,0.5858376087780698,0.3506185152217778,0.0,1.6708690024755486,inf
sus_3,22,0.47561307042397616,0.3524249825632395,0.0,1.3495441411808302,inf
sus_3,23,0.5471623323337339,0.3472973549753428,0.0,1.5754866096592672,inf
sus_3,24,0.4858038040515333,0.35839144606303536,0.0,1.3555117159969496,inf
sus_3,25,0.6300597337106943,0.34100577830916484,0.0,1.847651194753262,inf
sus_3,26,0.5665476297603961,0.34211674485974536,0.0,1.6560067236482643,inf
sus_3,27,0.5812213440126591,0.3425675343699809,0.0,1.696662075936614,inf
sus_3,28,0.46706478334840534,0.35157977985978733,0.0,1.328474531540677,inf
sus_3,29,0.40808424639493923,0.34583792141408326,0.0,1.179986985598165,inf
sus_3,30,0.4902518311140341,0.34606177285557466,0.0,1.4166598843572233,inf
sus_4,1,0.45841985105752797,0.37046993808306417,0.0,1.237400943864828,inf
sus_4,2,0.5565714963530677,0.35103940462117916,0.0,1.5854957848783002,inf
sus_4,3,0.5619700674996522,0.3601899886664432,0.0,1.5602045730928658,inf
sus_4,4,0.44825526427686546,0.3084541926574887,0.0,1.4532312250805215,inf
sus_4,5,0.5896151699024148,0.3045816130669589,0.0,1.9358199727335295,inf
sus_4,6,0.6982583284925299,0.3019722097972688,0.0,2.3123264520311673,inf
sus_4,7,0.6583591007655968,0.32083502963243005,0.0,2.0520175166653614,inf
sus_4,8,0.4127433645846451,0.33911457083881485,0.0,1.2171207021972137,inf
sus_4,9,0.7024929049678419,0.3417169057472531,0.0,2.0557745114531514,inf
sus_4,10,0.6503205448212646,0.33517965274104883,0.0,1.9402148653805231,inf
sus_4,11,0.503767105562257,0.3203126366145513,0.0,1.5727356587822228,inf
sus_4,12,0.6559435206556363,0.3330908118974832,0.0,1.9692633276762943,inf
sus_4,13,0.6092960648872298,0.32997567686681184,0.0,1.84648780986715,inf
sus_4,14,0.5929356499321913,0.3542705997647323,0.0,1.6736800917884638,inf
sus_4,15,0.6323906588757633,0.34392159679808576,0.0,1.8387640228567441,inf
sus_4,16,0.7724044254400018,0.33737416010005705,0.0,2.2894593504461787,inf
sus_4,17,0.6770741397404207,0.3480682160828754,0.0,1.945234033029918,inf
sus_4,18,0.5362195325834551,0.34191894021446195,0.0,1.5682650754799425,inf
sus_4,19,0.49221220058211484,0.34696194370458683,0.0,1.4186345491573513,inf
sus_4,20,0.6884724048351443,0.34920796764917555,0.0,1.9715254765515648,inf
sus_4,21,0.6162833356716684,0.352040521785318,0.0,1.750603403682862,inf
sus_4,22,0.5145658327170954,0.3538544071224856,0.0,1.454173870269136,inf
sus_4,23,0.5601515776167407,0.348301067112629,0.0,1.6082396251620048,inf
sus_4,24,0.5002053005572566,0.3587608427795103,0.0,1.394258349606666,inf
sus_4,25,0.6584335014296276,0.3419239002682801,0.0,1.9256726450330262,inf
sus_4,26,0.5822874484318675,0.3433174883261546,0.0,1.6960611335904023,inf
sus_4,27,0.6262796298231645,0.34464738519977656,0.0,1.8171605435513125,inf
sus_4,28,0.4957712863812125,0.35341398583867656,0.0,1.402806075160585,inf
sus_4,29,0.4295304556099234,0.3472638869566709,0.0,1.2368992911247267,inf
sus_4,30,0.4994029099327039,0.34638753436142183,0.0,1.4417461957843591,inf
sus_4b,1,0.3618884992949086,0.38389685863379014,0.0,0.9426711658511489,inf
sus_4b,2,0.5018197614912027,0.35255058269340844,0.0,1.4233979069256126,inf
sus_4b,3,0.5064269367068008,0.36140716918807186,0.0,1.4012642246265525,inf
sus_4b,4,0.41017181139348524,0.3096254030978185,0.0,1.3247356556978034,inf
sus_4b,5,0.5214880247616485,0.30523911871380893,0.0,1.7084573791165794,inf
sus_4b,6,0.6415039150732813,0.3028838692458832,0.0,2.1179863974614777,inf
sus_4b,7,0.6016248597144783,0.32184834883652697,0.0,1.8692805536810608,inf
