score_type,round,emp_var_sus,mean_sb_sq_naive,mean_sb_sq_corrected,theo_var_sus_naive,theo_var_sus_corrected,ratio_naive,ratio_corrected
sus_1,21,0.016651905747361778,0.3368423239917675,0.28189617503239167,0.016040110666274643,0.013423627382494842,1.038141574819273,1.240492250930385
sus_1,22,0.015902189386327755,0.33746514343156564,0.28311892837384833,0.015339324701434802,0.012869042198811288,1.0366942284519411,1.23569331273128
sus_1,23,0.015232241982938656,0.33808972635484374,0.28437138213582136,0.014699553319775816,0.01236397313634006,1.0362384251803214,1.2319860141209957
sus_1,24,0.013901632703073534,0.3389880807242951,0.285766921209482,0.014124503363512295,0.011906955050395083,0.9842209913720222,1.1675220612017232
sus_1,25,0.0138138644990973,0.33916425948740064,0.2864388592422965,0.013566570379496025,0.01145755436969186,1.0182281971554894,1.205655592229916
sus_1,26,0.012391947616495844,0.33917602066034946,0.28689801078682203,0.013045231563859595,0.011034538876416231,0.9499216288982095,1.1230145414577097
sus_1,27,0.011982496596894515,0.33927174809675054,0.2872463805131599,0.01256562029987965,0.010638754833820738,0.9535937192857308,1.126306300320222
sus_1,28,0.011437048003626958,0.33973242202693144,0.28806502136035617,0.012133300786676123,0.010288036477155578,0.9426163749427743,1.1116842391667976
sus_1,29,0.010944544281429332,0.33996686977894014,0.2886329651181756,0.011722995509618625,0.009952860866143986,0.9335962188545939,1.09963802655563
sus_1,30,0.01047264065889628,0.34029859648581423,0.2893590599237361,0.011343286549527142,0.00964530199745787,0.9232457112998563,1.0857763356353658
sus_3,1,0.45841985105752797,0.37046993808306417,0.0,0.37046993808306417,0.0,1.237400943864828,inf
sus_3,2,0.2890545728884663,0.3590432665956857,0.0,0.17952163329784285,0.0,1.6101378289540085,inf
sus_3,3,0.18397560448528508,0.3599197645358486,0.0006865137859334913,0.11997325484528287,0.0002288379286444971,1.533471811884569,803.9559070257699
sus_3,4,0.11878265953674888,0.34729834766041234,0.0005148853394501184,0.08682458691510309,0.0001287213348625296,1.3680762990890396,922.7892148850467
sus_3,5,0.10357397631819482,0.33846713080656193,0.00041190827156009483,0.06769342616131238,8.238165431201896e-05,1.5300448240185043,1257.24564750679
sus_3,6,0.11183677281343075,0.3320584360002362,0.00034325689296674564,0.05534307266670604,5.720948216112427e-05,2.0207908130968466,1954.8642740455973
sus_3,7,0.10235605961983302,0.3303250569418019,0.0002942201939714963,0.04718929384882885,4.203145628164233e-05,2.169052581031011,2435.225154559731
sus_3,8,0.08741035701247894,0.3312862705652824,0.00025744266972505924,0.0414107838206603,3.2180333715632405e-05,2.1108114589434295,2716.2663316327626
sus_3,9,0.08689840629965925,0.33230648531397394,0.00022883792864449712,0.03692294281266377,2.5426436516055236e-05,2.353507052256273,3417.6399923279946
sus_3,10,0.08951242149679947,0.33239465081625935,0.00020595413578004742,0.03323946508162594,2.059541357800474e-05,2.6929561374403708,4346.230832305108
sus_3,11,0.08383399566419765,0.33114477415847793,0.00018723103252731583,0.030104070378043447,1.702100295702871e-05,2.784805995050503,4925.326426171553
sus_3,12,0.08620990582087043,0.33109333601061836,0.00017162844648337282,0.027591111334218196,1.4302370540281068e-05,3.124553584543506,6027.6655242618435
sus_3,13,0.08383102126419573,0.33084820797295,0.00015842625829234417,0.025449862151765385,1.2186635253257244e-05,3.2939675965349227,6878.930855158676
sus_3,14,0.083994558295451,0.3324129730264081,0.00014711009698574817,0.02374378378760058,1.0507864070410584e-05,3.5375388795156746,7993.4949417526095
sus_3,15,0.07864145161907268,0.3331075810038968,0.00013730275718669825,0.022207172066926455,9.153517145779884e-06,3.541263668425158,8591.391742280108
sus_3,16,0.07574785799113488,0.33329528952247445,0.0001287213348625296,0.020830955595154653,8.0450834289081e-06,3.6363122010952815,9415.42230860564
sus_3,17,0.07122595655033793,0.3340525003784879,0.00012114949163532199,0.019650147081087522,7.126440684430705e-06,3.6247034821886936,9994.604558478524
sus_3,18,0.06926255572113385,0.33439172185415456,0.00011441896432224856,0.018577317880786363,6.356609129013809e-06,3.7283399124460703,10896.148294693012
sus_3,19,0.07243362660288091,0.3349630058470621,0.00010839691356844601,0.01762963188668748,5.705100714128738e-06,4.108629554402501,12696.292358783137
sus_3,20,0.07188703077275803,0.33563474937164445,0.00010297706789002371,0.016781737468582223,5.148853394501185e-06,4.283646488174462,13961.755222926164
sus_3,21,0.07268939540004159,0.33634826203117457,9.807339799049876e-05,0.01601658390624641,4.67016180907137e-06,4.538383204903824,15564.641734436045
sus_3,22,0.07200199345126676,0.3370790220553594,9.36155162636579e-05,0.015321773729789063,4.255250739257177e-06,4.699324942469179,16920.74048351752
sus_3,23,0.0679335546182096,0.3375232973997065,8.954527642610755e-05,0.014674925973900282,3.893272888091632e-06,4.629226391944402,17448.957874491203
sus_3,24,0.06595517398077294,0.33839280359401186,8.581422324168641e-05,0.014099700149750495,3.575592635070267e-06,4.677771390900116,18445.94189334345
sus_3,25,0.062125330538168315,0.33849732258261794,8.238165431201896e-05,0.013539892903304717,3.2952661724807587e-06,4.5883177202240075,18852.902098466544
sus_3,26,0.06322949997123456,0.33863653113173825,7.921312914617208e-05,0.013024481966605318,3.046658813314311e-06,4.854665247597145,20753.718695021937
sus_3,27,0.0628553969519152,0.33878212384426576,7.62793095481657e-05,0.012547486068306139,2.825159612895026e-06,5.0094016131791115,22248.44099604885
sus_3,28,0.06305717608251664,0.33923918298767725,7.355504849287407e-05,0.012115685106702759,2.6269660176026456e-06,5.20459020906969,24003.803498022506
sus_3,29,0.06415978888787989,0.33946672569203606,7.101866751036117e-05,0.011705749161794347,2.448919569322799e-06,5.48104935455878,26199.222584358715
sus_3,30,0.0631738370042641,0.3396865605974873,6.865137859334914e-05,0.011322885353249577,2.2883792864449714e-06,5.5793055421278925,27606.36638273611
sus_4,1,0.45841985105752797,0.37046993808306417,0.0,0.37046993808306417,0.0,1.237400943864828,inf
sus_4,2,0.35805017439835085,0.36075467135212164,0.0,0.18037733567606082,0.0,1.9850064480460683,inf
sus_4,3,0.24568869324860487,0.36056644379022884,0.0,0.12018881459674295,0.0,2.044189337193637,inf
sus_4,4,0.17597455305182927,0.34753838100704376,0.0,0.08688459525176094,0.0,2.025382664693517,inf
sus_4,5,0.15557189225021614,0.3389470274190268,0.0,0.06778940548380537,0.0,2.2949292907928167,inf
