score_type,round,emp_var,theo_var_mean,n,ratio_emp_over_theo
surp2,47,0.39449026802336823,0.38134039485449683,1000,1.0344832945743627
surp2,48,0.3406555359391984,0.38149958114038146,1000,0.8929381650194956
surp2,49,0.31557375539642807,0.3818051809977786,1000,0.8265308358879083
surp2,50,0.339292392984306,0.3818919149028524,1000,0.8884513647549123
surp2,51,0.36970617091261865,0.3815046331404429,1000,0.9690738690885546
surp2,52,0.4238470746712404,0.38140770757664916,1000,1.1112703447034102
surp2,53,0.3838078275365431,0.3810538445067482,1000,1.007227280526089
surp2,54,0.42067870428152737,0.3810663053685146,1000,1.1039514602969296
surp2,55,0.37477821730141875,0.38124389769648814,1000,0.9830405668546155
surp2,56,0.47453783588586346,0.3808845637734048,1000,1.2458836115190395
surp2,57,0.3047550712039959,0.3810764856854008,1000,0.7997215326888147
surp2,58,0.3289039419522216,0.38108070533998567,1000,0.8630821171037407
surp2,59,0.36818430145237036,0.38103890949111274,1000,0.966264316534209
surp2,60,0.38441074505777795,0.3807517261414967,1000,1.0096099864165067
surp2,61,0.3577634960496496,0.3803180055291012,1000,0.940695656919862
surp2,62,0.3468427998673518,0.38041304832347417,1000,0.9117531625056751
surp2,63,0.4202360028360554,0.37995506023356357,1000,1.1060150181385413
surp2,64,0.3827570375473715,0.3798389692287337,1000,1.0076823826806474
surp2,65,0.3965418150225096,0.3796494242650954,1000,1.0444947092705688
surp2,66,0.3738008295335375,0.3796713579243463,1000,0.9845378686901671
surp2,67,0.46187441803765233,0.3794617445367543,1000,1.217183088117373
surp2,68,0.43462679041216606,0.37985711495496544,1000,1.1441849403391955
surp2,69,0.4010479051877183,0.3801133185517449,1000,1.0550745938493697
surp2,70,0.39122399738329566,0.37958502915580083,1000,1.0306623479155117
surp2,71,0.4446653083123,0.3795625914314064,1000,1.171520372003411
surp2,72,0.3687536675236689,0.3795788554083117,1000,0.9714810566226135
surp2,73,0.404355723088003,0.3796963547957635,1000,1.0649449697917264
surp2,74,0.4081523137610631,0.37953541214825764,1000,1.075399819613214
surp2,75,0.39167546408219156,0.3795857849127519,1000,1.0318496625794837
surp2,76,0.45605833218311903,0.37947370867211977,1000,1.2018179962427158
surp2,77,0.3870174236091923,0.3794997515479003,1000,1.0198094255151129
surp2,78,0.36607596289611144,0.37922604745533217,1000,0.9653238888851124
surp2,79,0.3582365282513163,0.379446507237663,1000,0.944102848275628
surp2,80,0.4066173030738902,0.37918781682195596,1000,1.0723374671734602
surp2,81,0.33151177049251096,0.3789765271227782,1000,0.8747554182560496
surp2,82,0.418600005302782,0.37898343750477725,1000,1.1045337708128877
surp2,83,0.3906153330746775,0.37893572802151204,1000,1.0308221267869004
surp2,84,0.3720371095441724,0.37871525211173945,1000,0.9823663226386333
surp2,85,0.4183421535892104,0.3786735034344699,1000,1.104756867842498
surp2,86,0.40929051950117284,0.3782759230409783,1000,1.0819893484387448
surp2,87,0.36269519641929937,0.37844754597597846,1000,0.9583763992548681
surp2,88,0.3681901116464934,0.3781696524068879,1000,0.9736109423459048
surp2,89,0.35842806093840635,0.37794428473980296,1000,0.9483621671516144
surp2,90,0.3527971945868875,0.3777564615529741,1000,0.9339276239948937
surp2,91,0.40603617279782395,0.3778611006451152,1000,1.0745646273315934
surp2,92,0.33607744573811665,0.3775498282752721,1000,0.8901538831930871
surp2,93,0.3670863092514591,0.3775628464382074,1000,0.9722522030820028
surp2,94,0.39367846961735664,0.37779349236179605,1000,1.0420467201704688
surp2,95,0.3476727031219674,0.3779339320887677,1000,0.9199298438233574
surp2,96,0.3228634296613149,0.37783933842910267,1000,0.8544992456414028
surp2,97,0.3661686931075675,0.3779029626020337,1000,0.9689489878203906
surp2,98,0.41478944286697406,0.37746438523539366,1000,1.098883653906325
surp2,99,0.3454050248765457,0.37747434675613967,1000,0.9150423806142467
surp2,100,0.47541983922546177,0.3772777762122324,1000,1.2601321074316896
surp2,101,0.33172130932312366,0.37755711584770596,1000,0.8785990129687532
surp2,102,0.31536071176574526,0.37750567545468666,1000,0.8353800545803957
surp2,103,0.3070218312346782,0.37728795417824235,1000,0.8137599619457548
surp2,104,0.42775228841032026,0.37720478921130196,1000,1.1340054544501095
surp2,105,0.4158388158989236,0.37705773777613877,1000,1.1028518294081777
surp2,106,0.38682478442173823,0.37678360626154295,1000,1.0266497214669823
surp2,107,0.3660991291429717,0.376676337281154,1000,0.9719196373880863
surp2,108,0.38765255709444013,0.3763864257463051,1000,1.029932352968884
surp2,109,0.28388586763421736,0.37624459705103563,1000,0.7545247688851455
surp2,110,0.46665104034500837,0.37636645212254427,1000,1.2398847923700373
surp2,111,0.48343420106085555,0.37665541350954185,1000,1.2834919762771673
surp2,112,0.3933089967506024,0.3765906675309686,1000,1.0443939020827142
surp2,113,0.3688944641522959,0.37678910004742555,1000,0.9790476001186447
surp2,114,0.31008216307459613,0.37676449089136044,1000,0.8230132365738467
surp2,115,0.3857178637287061,0.3765567631565982,1000,1.0243286045251512
surp2,116,0.401265926484859,0.3764714418647559,1000,1.0658602004372228
surp2,117,0.4859380902242802,0.3761692652742197,1000,1.2918070004205189
surp2,118,0.3831851382759957,0.37605853398696565,1000,1.0189507846384283
surp2,119,0.37861609649990186,0.37570789211089783,1000,1.0077405996788207
surp2,120,0.32196037243243714,0.37587001843151974,1000,0.8565737000677949
surp2,121,0.3798155630910893,0.3759549132325813,1000,1.0102689171563497
surp2,122,0.38827890234320916,0.3759369792936124,1000,1.0328297659697838
surp2,123,0.36240724164716215,0.3757454015174617,1000,0.9645021341141291
surp2,124,0.3346712427516753,0.3755693703272772,1000,0.891103666041875
surp2,125,0.32565482537810975,0.3754777449342191,1000,0.8673079290895445
surp2,126,0.35232614657773664,0.37549570364935747,1000,0.9382960794319585
surp2,127,0.3335068164264714,0.37544144267154445,1000,0.8883058142258429
surp2,128,0.30297904325736874,0.3755501633160468,1000,0.8067605152454551
surp2,129,0.35052706333632083,0.3753602195713396,1000,0.9338418006485126
surp2,130,0.28080706865763566,0.37504752800631475,1000,0.7487239554686724
surp2,131,0.3200271069338475,0.3752417376318609,1000,0.8528558388880958
surp2,132,0.386084001854506,0.3754383984049988,1000,1.0283551269522073
surp2,133,0.32107152956775903,0.3755842320984486,1000,0.8548589161314935
surp2,134,0.4679396109070075,0.3754045432608995,1000,1.246494266804325
surp2,135,0.36442202006340035,0.375263539829543,1000,0.9711095840244239
surp2,136,0.39505031985716943,0.3751325505133319,1000,1.0530952840977996
surp2,137,0.46773180888477184,0.3752014975984737,1000,1.246614983891457
surp2,138,0.34446552183135193,0.37505343915079103,1000,0.9184438425929453
surp2,139,0.3788741031242356,0.37527184942309155,1000,1.0095990512122925
surp2,140,0.34918709651109797,0.3751682678952474,1000,0.9307479506998078
surp2,141,0.3884036739442655,0.3752658176801261,1000,1.03500946701023
surp2,142,0.44860285130979966,0.3747761126020872,1000,1.1969889121137687
surp2,143,0.3190891757238788,0.37470325739403865,1000,0.8515783341278083
surp2,144,0.34684936965582064,0.3746813509589949,1000,0.9257182637141175
surp2,145,0.5198232262866775,0.3747873371579443,1000,1.386981828758029
surp2,146,0.32382716389614696,0.37493750938738074,1000,0.8636830292740137
surp2,147,0.3872239871063594,0.37486705301322343,1000,1.0329635106468003
surp2,148,0.34336804157026923,0.37465775121777484,1000,0.9164845527796966
surp2,149,0.37562641879599457,0.3743845129626148,1000,1.0033171933944387
