psi_star,alpha,c,switch_type,n,rate,mean_tau,median_tau,abias_cred_at_tau,bias_cred_at_tau,abias_sw_at_tau,recovery_median,recovery_mean,recovery_frac,mean_abias_sw_post,mean_abias_cred_post,mean_abias_vig_post
high,10.0,3.5,hard_amnesic,300,1.0,5.4,1.0,0.1777065882086754,0.11935198257366816,0.24,0.0,2.2449664429530203,0.9933333333333333,0.10315094599752404,0.10549738685316899,0.09779367962674326
high,10.0,3.5,soft,300,1.0,5.4,1.0,0.1777065882086754,0.11935198257366816,0.17915940920511883,0.0,6.268041237113402,0.97,0.10733616796088759,0.10549738685316899,0.09779367962674326
low,1.5,2.0,hard,300,0.99,26.1010101010101,19.0,0.10227838348258625,-0.04108482287186965,0.09307295599268743,0.0,0.0,1.0,0.021365845384249908,0.03567032864491161,0.021365845384249908
low,1.5,2.0,hard_amnesic,300,0.99,26.1010101010101,19.0,0.10227838348258625,-0.04108482287186965,0.24040404040404043,2.0,7.2677966101694915,0.9932659932659933,0.03340971587651502,0.03567032864491161,0.021365845384249908
low,1.5,2.0,soft,300,0.99,26.1010101010101,19.0,0.10227838348258625,-0.04108482287186965,0.10246499769816093,0.0,9.406896551724138,0.9764309764309764,0.02768176180455569,0.03567032864491161,0.021365845384249908
low,1.5,3.5,hard,300,0.8766666666666667,75.80608365019012,75.0,0.043621549576860874,-0.013708993996504139,0.026290261779447925,0.0,0.0,1.0,0.013688960323075641,0.028798144269612094,0.013688960323075641
low,1.5,3.5,hard_amnesic,300,0.8766666666666667,75.80608365019012,75.0,0.043621549576860874,-0.013708993996504139,0.24182509505703423,4.0,8.970464135021096,0.9011406844106464,0.05160375978973603,0.028798144269612094,0.013688960323075641
low,1.5,3.5,soft,300,0.8766666666666667,75.80608365019012,75.0,0.043621549576860874,-0.013708993996504139,0.04386351060957963,0.0,9.620833333333334,0.9125475285171103,0.02427190084589134,0.028798144269612094,0.013688960323075641
low,3.0,2.0,hard,300,0.98,13.520408163265307,6.0,0.1387765027684014,-0.07031778528475437,0.1273350750406583,0.0,0.0,1.0,0.027479854139457277,0.061563177366413695,0.027479854139457277
low,3.0,2.0,hard_amnesic,300,0.98,13.520408163265307,6.0,0.1387765027684014,-0.07031778528475437,0.24081632653061225,1.0,5.385665529010239,0.9965986394557823,0.03401629421949131,0.061563177366413695,0.027479854139457277
low,3.0,2.0,soft,300,0.98,13.520408163265307,6.0,0.1387765027684014,-0.07031778528475437,0.13761809078000842,0.0,10.978947368421053,0.9693877551020408,0.033912194984569835,0.061563177366413695,0.027479854139457277
low,3.0,3.5,hard,300,0.92,28.77173913043478,19.0,0.11350377094594465,-0.06972130795643813,0.08507650436266609,0.0,0.0,1.0,0.023185533290703622,0.061850573142094425,0.023185533290703622
low,3.0,3.5,hard_amnesic,300,0.92,28.77173913043478,19.0,0.11350377094594465,-0.06972130795643813,0.24347826086956523,3.0,8.397058823529411,0.9855072463768116,0.03672459223625204,0.061850573142094425,0.023185533290703622
