score_type,round,emp_var_sus,mean_sb_sq,theo_var_sus,ratio
surp2,31,0.012955041350235485,0.39280930317013424,0.012671267844197878,1.0223950365130625
surp2,32,0.01233629586038218,0.3926369334337938,0.012269904169806056,1.00541093798756
surp2,33,0.011712441264680669,0.39247157640110125,0.011893078072760644,0.9848116015908701
surp2,34,0.011340749277736793,0.39230143148877333,0.011538277396728627,0.9828806231467586
surp2,35,0.011012207228287243,0.39213349238218403,0.0112038140680624,0.9828980703703971
surp2,36,0.010895431012750176,0.3919625612157088,0.010887848922658578,1.0006963809054898
surp2,37,0.010440812327362195,0.39178790284909437,0.010588862239164713,0.9860183362047218
surp2,38,0.010132767880844273,0.39161446384422083,0.010305643785374232,0.9832251232305056
surp2,39,0.009922814877142857,0.39143567356488235,0.010036812142689292,0.9886420843664521
surp2,40,0.009711192831712755,0.3912549687476396,0.00978137421869099,0.9928249972438303
surp2,41,0.009419872459163196,0.39108208014773754,0.009538587320676525,0.9875542512195706
surp2,42,0.009192082654322855,0.3909052386409897,0.00930726758669023,0.9876241946098021
surp2,43,0.008940932977657197,0.3907284177617714,0.009086707389808638,0.9839573999802242
surp2,44,0.008646955488663942,0.39055765510736445,0.008876310343349193,0.974161014451562
surp2,45,0.008360563756614542,0.3904011033566635,0.008675580074592522,0.9636893077731432
surp2,46,0.0081911966336551,0.39025853257766085,0.008483881142992627,0.9655011068160386
surp2,47,0.008063764342626303,0.39011166808262354,0.008300248257077097,0.9715088142997218
surp2,48,0.00787096537477517,0.38995461165100254,0.008124054409395886,0.9688469547510655
surp2,49,0.00774338319099496,0.3897933495466135,0.007954966317277826,0.97340238564891
surp2,50,0.007667550642817495,0.38963784763751325,0.007792756952750265,0.9839329892242332
surp2,51,0.007552270731764835,0.3894880457889374,0.00763702050566544,0.9889027698907272
surp2,52,0.0073424288497812035,0.38934616360740437,0.007487426223219315,0.9806345506299002
surp2,53,0.007315775657476482,0.38920104577750675,0.007343415958066165,0.9962360431783355
surp2,54,0.007159104238159191,0.38906379545452036,0.007204885101009636,0.9936458580242966
surp2,55,0.00710318016630735,0.388930131493953,0.007071456936253691,1.0044860953463524
surp2,56,0.006873654982860388,0.3887998982007376,0.006942855325013172,0.9900328699197468
surp2,57,0.006730055707802706,0.38867852419174365,0.006818921477048134,0.9869677676235835
surp2,58,0.006712905943687163,0.3885595662752565,0.006699302866814767,1.0020305212561413
surp2,59,0.006604583486473349,0.3884464435179661,0.006583838025728239,1.0031509676671937
surp2,60,0.006572809695274351,0.38833799682581044,0.006472299947096841,1.0155292166616279
surp2,61,0.0065527246363035856,0.3882242445819027,0.006364331878391847,1.0296013409595073
surp2,62,0.006419046906436443,0.38811044293695707,0.006259845853821888,1.0254321042933279
surp2,63,0.006391093083797947,0.3880007628228816,0.006158742267029867,1.037726991436538
surp2,64,0.0062761605979352346,0.387892688446074,0.006060823256969906,1.0355293879783891
surp2,65,0.00611280829115154,0.3877852882036448,0.005965927510825304,1.0246199404970506
surp2,66,0.006057227333315155,0.38768238375251374,0.005873975511401723,1.0311972396816653
surp2,67,0.006014075176341322,0.38758403555211446,0.005784836351524096,1.0396275384275702
surp2,68,0.005899026671947842,0.38749296807137246,0.005698426001049595,1.0352028210704673
surp2,69,0.005851604572731108,0.38740191964339593,0.00561452057454197,1.0422269355043692
surp2,70,0.0058545560828025854,0.3873227349730911,0.005533181928187016,1.0580812557379384
surp2,71,0.005860159817267431,0.38723951869509915,0.005454077728099988,1.074454767499052
surp2,72,0.00571784287676164,0.3871659027719668,0.0053773042051662055,1.0633288835078856
surp2,73,0.005637953352337102,0.3870956199205082,0.005302679724938469,1.063227206769031
surp2,74,0.005543067554195703,0.38702573076714625,0.0052300774427992735,1.059844259443491
surp2,75,0.005443974201157794,0.3869568066627136,0.005159424088836182,1.0551515261048834
surp2,76,0.005364087171835607,0.3868820049584258,0.005090552696821392,1.053733747847265
surp2,77,0.005242205471448783,0.38680622161181316,0.005023457423530041,1.04354531739318
surp2,78,0.00517862801116878,0.38672628603721393,0.004958029308169409,1.044493222868991
surp2,79,0.005110221517594617,0.38664567899984414,0.0048942491012638496,1.0441277940419904
surp2,80,0.005010944977127874,0.38656598364109584,0.004832074795513698,1.0370172626012013
surp2,81,0.0048996291074874295,0.38648558899510443,0.004771427024630919,1.0268687087101427
surp2,82,0.004766935236847003,0.3864077947769315,0.004712290180206482,1.0115962843014321
surp2,83,0.004745093749422286,0.38632853333352496,0.00465456064257259,1.0194504087070306
surp2,84,0.0046646249246379105,0.38624947421850353,0.004598208026410757,1.0144440829657282
surp2,85,0.004597604053057517,0.38617156403205594,0.004543194870965364,1.0119759736567477
surp2,86,0.004585057881848174,0.38609354490316083,0.0044894598244553585,1.021293888603717
surp2,87,0.004573963531958105,0.38601536660001307,0.0044369582367817595,1.0308782025579124
surp2,88,0.004492999738026536,0.38593684127926753,0.00438564592362804,1.024478449986151
surp2,89,0.004474163553018337,0.38585969273409304,0.004335502165551607,1.0319827743527579
surp2,90,0.004398792598648476,0.38578297375757575,0.004286477486195286,1.026202193482855
surp2,91,0.004320614283303842,0.38570616932644847,0.004238529333257675,1.0193663753609266
surp2,92,0.0042713722663468845,0.3856339108855804,0.004191672944408482,1.0190137262604702
surp2,93,0.004204893872329743,0.3855584479959142,0.004145789763396927,1.0142564173066961
surp2,94,0.004164322547330577,0.38548451840757375,0.004100899131995466,1.0154657340484867
surp2,95,0.004139173559754495,0.3854159090831038,0.0040570095692958295,1.0202523531323409
surp2,96,0.004065484608735423,0.3853472335900914,0.0040140336832301185,1.0128177612759595
surp2,97,0.004056638526865688,0.3852775736977808,0.003971933749461658,1.02132582836144
surp2,98,0.004021893741710108,0.3852109158931045,0.003930723631562291,1.0231942305522967
surp2,99,0.00396890846345298,0.3851478692989149,0.0038903825181708577,1.0201846334943545
surp2,100,0.0038739540048307723,0.3850858789637115,0.0038508587896371148,1.0059974193953327
surp2,101,0.0037858197062315252,0.38502089364398895,0.0038120880558810788,0.9931091965178958
surp2,102,0.0037508143277372023,0.38495461212121607,0.0037740648247178046,0.9938394017960884
surp2,103,0.0037043606387082563,0.38489032349754626,0.0037367992572577306,0.9913191433854867
surp2,104,0.003647359871086182,0.38482816622650945,0.0037002708291010524,0.9857007877372791
surp2,105,0.0036534468648914045,0.3847671406971009,0.003664448959020008,0.9969976129421799
surp2,106,0.0035932572610350402,0.3847079010909727,0.0036293198216129498,0.9900635484469698
surp2,107,0.003582505686006833,0.38464968237338926,0.0035948568446111146,0.9965642140596512
surp2,108,0.0035344111158986395,0.38459067864490587,0.003561024802267647,0.9925263967967703
surp2,109,0.00346949485690558,0.3845330023238515,0.0035278257093931333,0.9834654948139182
surp2,110,0.0034092889903664762,0.38447374815835955,0.003495215892348723,0.9754158528031568
surp2,111,0.0034325258359889804,0.38441537864077957,0.0034632016093763926,0.9911423656929589
surp2,112,0.0034232730810428006,0.38435510586625643,0.0034317420166630037,0.997532175909762
