score_type,round,emp_var_score,theo_var,ratio
surp2,40,0.366198383343714,0.384207480875174,0.9531266348837414
surp2,41,0.3161324073527561,0.3841665361516529,0.8229045937201575
surp2,42,0.3242256251696356,0.3836547368643288,0.8450974118541665
surp2,43,0.36324784558113893,0.3833019408346042,0.9476806842934336
surp2,44,0.33946813469810627,0.38321486096786467,0.8858428241554367
surp2,45,0.38030092292328627,0.38351282632582084,0.9916250430701219
surp2,46,0.3355770028665492,0.3838428475225427,0.8742562354163472
surp2,47,0.3993797809303042,0.3833559013109081,1.0417989642642815
surp2,48,0.36648845930951257,0.3825729593648151,0.9579570388821844
surp2,49,0.4172734141442977,0.3820527685359402,1.0921879083439863
surp2,50,0.3312039771117031,0.3820182540915975,0.8669846887271765
surp2,51,0.3344883642286576,0.3819979533601492,0.8756286814796115
surp2,52,0.30750610340065665,0.38211017234921946,0.8047576998803885
surp2,53,0.44755348141519324,0.38165491862282797,1.172665304642621
surp2,54,0.4328354479280384,0.38178952833624213,1.1337017277929113
surp2,55,0.38379728757343834,0.38171227762331683,1.0054622554011192
surp2,56,0.35957779726956,0.38163706707389056,0.9421983038139753
surp2,57,0.3984998786665628,0.38188157968807906,1.0435168907388974
surp2,58,0.42634722922703017,0.38177896503548947,1.1167383964891773
surp2,59,0.4081751924613808,0.38188532359512334,1.0688423127099016
surp2,60,0.41714308056671273,0.3819396419886271,1.0921701617428177
surp2,61,0.3576373236206789,0.381399109947437,0.9376983697470274
surp2,62,0.3415284979870923,0.3811685425952733,0.896003892823152
surp2,63,0.4036340002658347,0.38120059575020315,1.0588493427495373
surp2,64,0.30513506174836413,0.3810840027071945,0.8007028885513578
surp2,65,0.4064120125862955,0.380911672688178,1.0669455459796124
surp2,66,0.432671113242624,0.38099359442899466,1.1356388127498043
surp2,67,0.39158242661975234,0.3810930543257625,1.0275244383882771
surp2,68,0.40479482867901057,0.38139144686165893,1.0613631532902223
surp2,69,0.36201675460446503,0.3812106265409931,0.9496502180154622
surp2,70,0.4312929168174508,0.38185899272205787,1.1294559642107844
surp2,71,0.3756061569759205,0.38141437923566046,0.9847718843967566
surp2,72,0.4058506184498354,0.38193917222957174,1.0626053779209932
surp2,73,0.3934839368558123,0.3820352546154902,1.0299676066593513
surp2,74,0.3778469987441194,0.38192382257171903,0.9893255576461611
surp2,75,0.38158945621029305,0.38185642293469835,0.9993008714575139
surp2,76,0.35548592605762663,0.381271877136844,0.9323685993500055
surp2,77,0.3299172113649933,0.381046687269249,0.8658183429682268
surp2,78,0.3735700171161673,0.3805712467930737,0.9816033666865192
surp2,79,0.4210859188279108,0.38035833008500514,1.107076894395355
surp2,80,0.4077809685263754,0.3802700502999785,1.0723457400988974
surp2,81,0.37786902171560943,0.3800540173157899,0.9942508288279323
surp2,82,0.3790126309644061,0.3801064631049234,0.9971223006007784
surp2,83,0.4628218161280592,0.37982909497418677,1.2185001682388565
surp2,84,0.3341032119755313,0.37968756767172757,0.8799424590704327
surp2,85,0.5209391339950652,0.379627108370456,1.3722390274793312
surp2,86,0.5289344019128409,0.3794619189470781,1.3939064119543683
surp2,87,0.37445963182160164,0.3792920325293078,0.9872594194096793
surp2,88,0.3770204217527574,0.3791051383744068,0.9945009539290641
surp2,89,0.36106802489251105,0.37907062075873404,0.9525085963396751
surp2,90,0.3090557925414197,0.3789549848475394,0.8155475053739127
surp2,91,0.4420985668181325,0.37879377052499275,1.167122062766243
surp2,92,0.38337050139487333,0.3790583927665853,1.011375842642121
surp2,93,0.4138527610094446,0.378615862146626,1.093067677257464
surp2,94,0.38370692582826865,0.37860906669191063,1.0134647043212686
surp2,95,0.39291073904348356,0.37896663258292995,1.0367950770903351
surp2,96,0.37686710537128243,0.37882306175391006,0.9948367547277303
surp2,97,0.3406574951354472,0.37859022403596865,0.899805313258914
surp2,98,0.32576148281113587,0.3787451088395017,0.860107431642587
surp2,99,0.43510423280064386,0.3789693030683339,1.1481252683998735
surp2,100,0.36505754231644727,0.37894883577857263,0.9633425619751941
surp2,101,0.34134175808444644,0.3785223616717325,0.9017743537711246
surp2,102,0.32813483753692047,0.3782601783211568,0.8674844890976652
surp2,103,0.4062061617628011,0.37833288388322844,1.0736739497594814
surp2,104,0.4162528961543957,0.3784259673097125,1.0999585972220685
surp2,105,0.3774692275606215,0.378420485638613,0.9974862405337644
surp2,106,0.3734976193695575,0.37848774244751654,0.9868156283062429
surp2,107,0.34488829305384194,0.37847849830954594,0.9112493697641137
surp2,108,0.3815808262857131,0.37827727969718217,1.0087331350991406
surp2,109,0.4134576252086277,0.3783039596499789,1.0929243923092276
surp2,110,0.31414715093034207,0.3780150441197341,0.8310440439265634
surp2,111,0.48080464881023255,0.37799473170698455,1.271987698450106
surp2,112,0.29835922780141977,0.37766482789418826,0.7900106278496556
surp2,113,0.3522293590986804,0.3776388016542792,0.9327149581973818
surp2,114,0.36436151276805107,0.3774279748885587,0.965380250034816
surp2,115,0.3589437892650941,0.3772113792978402,0.9515720070090402
surp2,116,0.36738410869962557,0.37704002765037586,0.9743902019875086
surp2,117,0.4427024657160654,0.3767587603104276,1.1750289903048412
surp2,118,0.32849661232937827,0.3767393427340835,0.8719466619689977
surp2,119,0.35706122741373836,0.3766600045159672,0.9479669280856762
surp2,120,0.43196178979030436,0.376682610788803,1.1467526703336328
surp2,121,0.3519767890803321,0.37658660567361446,0.9346503135732566
surp2,122,0.3504169457839459,0.37656196239744916,0.9305691513634401
surp2,123,0.32650601369597176,0.3766094373761161,0.8669618477188968
surp2,124,0.374934073825117,0.37641116557669657,0.9960758556422827
surp2,125,0.4344580427791532,0.3765503148255937,1.1537848347846436
surp2,126,0.3909401902473617,0.37622640654029593,1.0391088542730715
surp2,127,0.35749205314273286,0.37609892821957797,0.9505266468986536
surp2,128,0.4958157310273852,0.3760634835681192,1.318436255291387
surp2,129,0.34928918010662696,0.376203528106323,0.9284580127805461
surp2,130,0.3164065827307691,0.37632279325392864,0.8407850611304049
surp2,131,0.34280044401479015,0.37621978039157944,0.9111707089350657
surp2,132,0.37596783177244225,0.37599912357107335,0.9999167769373133
surp2,133,0.5240255385280626,0.376072899394315,1.3934147857291312
surp2,134,0.3706728594404309,0.3761148597651984,0.985531014839018
surp2,135,0.3532908383518408,0.375915624347596,0.9398141909237726
surp2,136,0.4051228108833366,0.3758492089515822,1.0778865599143126
surp2,137,0.35033459184372356,0.3758348573982387,0.9321503446193263
surp2,138,0.3057079061177369,0.37572477743007837,0.813648512107053
surp2,139,0.3648181740547207,0.37589282571090454,0.9705377413489098
surp2,140,0.4631032959082143,0.3757889797384389,1.232349326024805
surp2,141,0.3548530559187022,0.37566745594582107,0.944593550232574
surp2,142,0.3309917710757061,0.37576677490852667,0.8808436327460825
surp2,143,0.4018728464581503,0.37564915901870544,1.0698089874816918
surp2,144,0.44512464849446054,0.3755515578053279,1.1852557638043317
surp2,145,0.3689993299733027,0.37537896665872267,0.9830048104660588
surp2,146,0.3698621431200713,0.37524876388136164,0.9856452005182531
surp2,147,0.30908032084233306,0.3754444242744165,0.8232385430670901
surp2,148,0.3900526329269239,0.3753344075157718,1.0392136322075232
surp2,149,0.34380999752833147,0.3752382372402118,0.9162445705346353
surp2,150,0.3575845803516994,0.3752178039855052,0.9530053652931485
