theta_star,psi_star,alpha,c,switch_type,bin,n,n_pers_only,n_inf_only,n_both,n_neither,sum_p_pers,sum_p_inf
0.3,high,3.0,3.5,soft,5,314,112,75,17,110,106.08800464461744,99.4377608794658
0.3,high,10.0,2.0,hard,0,8,1,0,0,7,2.8760157866482015,0.2995070920255224
0.3,high,10.0,2.0,hard,1,4,1,1,1,1,1.761409646106407,0.9715908795720518
0.3,high,10.0,2.0,hard,2,1,0,0,0,1,0.16311790309413185,0.6121635993099668
0.3,high,10.0,2.0,hard,3,7,1,1,1,4,3.263870454919837,3.30120582632125
0.3,high,10.0,2.0,hard,4,0,0,0,0,0,0.0,0.0
0.3,high,10.0,2.0,hard,5,0,0,0,0,0,0.0,0.0
0.3,high,10.0,2.0,soft,0,6,4,0,0,2,3.5278544557036384,0.18452760886988567
0.3,high,10.0,2.0,soft,1,0,0,0,0,0,0.0,0.0
0.3,high,10.0,2.0,soft,2,0,0,0,0,0,0.0,0.0
0.3,high,10.0,2.0,soft,3,1,1,0,0,0,0.8838206122449882,0.007032579013055986
0.3,high,10.0,2.0,soft,4,0,0,0,0,0,0.0,0.0
0.3,high,10.0,2.0,soft,5,0,0,0,0,0,0.0,0.0
0.3,high,10.0,3.5,hard,0,7,2,0,1,4,3.4442473269621408,0.9023278167734424
0.3,high,10.0,3.5,hard,1,1,1,0,0,0,0.43360417810446755,0.13279164379892675
0.3,high,10.0,3.5,hard,2,8,0,3,0,5,1.877709089290259,1.927554925658761
0.3,high,10.0,3.5,hard,3,14,4,4,1,5,5.08292953887664,5.625447652716043
0.3,high,10.0,3.5,hard,4,66,12,24,2,28,21.166988748722062,22.752530399958538
0.3,high,10.0,3.5,hard,5,79,17,38,8,16,28.068907194750306,35.11194333361402
0.3,high,10.0,3.5,soft,0,10,6,1,0,3,5.2026717235473265,0.5788091654954131
0.3,high,10.0,3.5,soft,1,1,1,0,0,0,0.4042664229695332,0.15477939862265236
0.3,high,10.0,3.5,soft,2,3,2,1,0,0,1.4948821059928117,0.14457073475537038
0.3,high,10.0,3.5,soft,3,2,1,0,0,1,0.8787786581129642,0.24244268408148464
0.3,high,10.0,3.5,soft,4,5,2,0,0,3,2.960308557345069,1.1583018604473203
0.3,high,10.0,3.5,soft,5,3,2,0,1,0,1.4501024386367691,0.4859462829299723
0.3,low,1.5,2.0,hard,0,266,34,33,56,143,88.42809913464448,86.71620676312884
0.3,low,1.5,2.0,hard,1,256,34,44,39,139,85.09476223359343,83.42139768680578
0.3,low,1.5,2.0,hard,2,474,49,45,94,286,155.43364949773544,153.51818592722475
0.3,low,1.5,2.0,hard,3,860,92,89,187,492,282.5403226226606,280.7132724380794
0.3,low,1.5,2.0,hard,4,488,53,47,112,276,160.17705376194849,159.24239475984356
0.3,low,1.5,2.0,hard,5,215,28,27,55,105,71.75278131639587,71.32734163679024
0.3,low,1.5,2.0,soft,0,123,8,7,33,75,42.982638034751325,41.8735261977183
0.3,low,1.5,2.0,soft,1,191,23,13,37,118,64.10359200793823,63.37704331495739
0.3,low,1.5,2.0,soft,2,437,36,46,113,242,145.15121403390512,143.3786910144022
0.3,low,1.5,2.0,soft,3,541,37,37,137,330,181.48263766224306,179.8007467287391
0.3,low,1.5,2.0,soft,4,341,28,13,89,211,112.96804836991183,112.21648606994012
0.3,low,1.5,2.0,soft,5,134,13,10,30,81,44.881762954796926,44.34663235738499
0.3,low,1.5,3.5,hard,0,175,16,19,37,103,58.80741674347989,56.91844686992137
0.3,low,1.5,3.5,hard,1,505,52,55,105,293,167.08710535272004,165.10307450398048
0.3,low,1.5,3.5,hard,2,1428,113,112,362,841,472.3006711043856,468.1303325810487
0.3,low,1.5,3.5,hard,3,2220,143,147,585,1345,729.5272556773905,726.5949326270832
0.3,low,1.5,3.5,hard,4,1413,96,84,350,883,461.502624433566,460.55086259803045
0.3,low,1.5,3.5,hard,5,756,48,61,197,450,247.52519167867692,247.12352431631447
