listener,psi_star,alpha,c,switch_type,mean_abias,abias_r150,std_150
switch,high,3.0,3.5,soft,0.0441611140679651,0.014683953732252128,0.012929604572421644
switch,high,10.0,2.0,hard,0.09667159317413966,0.04208014750480652,0.026781378682553147
switch,high,10.0,2.0,soft,0.09661407641755211,0.0444517414768537,0.029793546250245224
switch,high,10.0,3.5,hard,0.09664492230508062,0.03939790320893129,0.02712789925031493
switch,high,10.0,3.5,soft,0.09648031567169561,0.042100942571957914,0.027221074881371786
switch,inf,1.5,2.0,hard,0.01709712575968769,0.004433518727620442,0.0042408092040241855
switch,inf,1.5,2.0,soft,0.015078376910322242,0.002148765613635379,0.0032284845965838984
switch,inf,1.5,3.5,hard,0.01445774675478538,0.002070176104704538,0.003505639676278205
switch,inf,1.5,3.5,soft,0.01509061555027962,0.0018907510042190541,0.003469019549439781
switch,inf,3.0,2.0,hard,0.013391832118067479,0.0013387649307648353,0.0026217259024530716
switch,inf,3.0,2.0,soft,0.012840487350357904,0.0013112017214298244,0.0022767176644525157
switch,inf,3.0,3.5,hard,0.013054677763945527,0.0007447702934344606,0.0020088628056102323
switch,inf,3.0,3.5,soft,0.011608902240925367,0.00038835712273915573,0.0015007797429556118
switch,inf,10.0,2.0,hard,0.012008117354578442,0.0011150806248188005,0.003235828209357304
switch,inf,10.0,2.0,soft,0.013040219522317254,0.002066933741172155,0.003939090521341661
switch,inf,10.0,3.5,hard,0.012652389419244398,0.0008772727201382313,0.0033508487805019214
switch,inf,10.0,3.5,soft,0.01205337178286579,0.000881346672773361,0.0029065240486157726
switch,low,1.5,2.0,hard,0.028601122495465807,0.007455156122644743,0.01198128724894977
switch,low,1.5,2.0,soft,0.03577653709570568,0.010080129956205686,0.012772459387409873
switch,low,1.5,3.5,hard,0.03487051103687949,0.008195405011375747,0.011914166608288592
switch,low,1.5,3.5,soft,0.04408489086151123,0.01667047772308191,0.011783092128635342
switch,low,3.0,2.0,hard,0.03290676371124056,0.006364043712615966,0.012939070750787682
switch,low,3.0,2.0,soft,0.039960894804696244,0.012600334326426188,0.013539681689984045
switch,low,3.0,3.5,hard,0.033763696864512235,0.008627708777785304,0.01329864968742053
switch,low,3.0,3.5,soft,0.04494620030903154,0.014606658150752388,0.014609687370018493
switch,low,10.0,2.0,hard,0.09553462353054018,0.03525993364055951,0.02442967631875509
switch,low,10.0,2.0,soft,0.0985897856750422,0.044998309786121043,0.029096612156508855
switch,low,10.0,3.5,hard,0.09231382354928386,0.038918680200974144,0.02423550068851
switch,low,10.0,3.5,soft,0.10583517021391127,0.04827928994099299,0.030615028823047487
vig,high,1.5,2.0,hard,0.030604509065912833,0.006420794631044074,0.012665103409064595
vig,high,1.5,2.0,soft,0.027977505492104426,0.006237148438890779,0.012112293561165569
vig,high,1.5,3.5,hard,0.0293046955757671,0.007645970031619076,0.01252284934272346
vig,high,1.5,3.5,soft,0.029318624589244523,0.0066653646628061945,0.01283548520991469
vig,high,3.0,2.0,hard,0.033863288505607186,0.00895046150684357,0.013974974340331042
vig,high,3.0,2.0,soft,0.03269422200424804,0.008597254335880284,0.013525127400967469
vig,high,3.0,3.5,hard,0.03289914420627886,0.00977807631095251,0.015697783959697915
vig,high,3.0,3.5,soft,0.030682568780481822,0.00782013480861982,0.013702890621912425
vig,high,10.0,2.0,hard,0.0966684226193693,0.04208014750480652,0.026781378682553147
vig,high,10.0,2.0,soft,0.08532707607547443,0.03813743752737841,0.02763528074979244
vig,high,10.0,3.5,hard,0.09648883593853977,0.03950934293369453,0.027284886025084925
vig,high,10.0,3.5,soft,0.08529676052696175,0.0362282473196586,0.02557168203782671
vig,inf,1.5,2.0,hard,0.017559092754489847,0.0044634628891944885,0.004310601560939041
vig,inf,1.5,2.0,soft,0.015830710848106277,0.002222905859351156,0.0034733767011511487
vig,inf,1.5,3.5,hard,0.01603424003220267,0.0024002329707145673,0.003879301932760084
vig,inf,1.5,3.5,soft,0.016402312119205793,0.002286090572675068,0.0037468290932848036
vig,inf,3.0,2.0,hard,0.013769453073740006,0.001340644801656406,0.002651932686148926
vig,inf,3.0,2.0,soft,0.014218251762820617,0.001186716482043265,0.002132090060386783
vig,inf,3.0,3.5,hard,0.015051832755936514,0.0008795853902896236,0.0024811552781094396
vig,inf,3.0,3.5,soft,0.015882948364118736,0.0032179625233014404,0.0037804987521539227
vig,inf,10.0,2.0,hard,0.012036827933622731,0.0011150806248188005,0.00323582819368346
vig,inf,10.0,2.0,soft,0.014006893280744554,0.002190304557482402,0.0032593964810302403
vig,inf,10.0,3.5,hard,0.012863522409995398,0.0008772727201382313,0.003350848785178347
vig,inf,10.0,3.5,soft,0.014009301835364769,0.0023679556598265967,0.0029901781276969915
vig,low,1.5,2.0,hard,0.02745238199565146,0.007461107129851978,0.012023402309176857
