psi_star,alpha,c,switch_type,block,f_pers_only,f_inf_only,f_both,p_switched,mean_p_pers,mean_p_inf
low,3.0,2.0,soft,11-25,0.19466666666666665,0.1448888888888889,0.14755555555555555,0.7486666666666667,0.34011037607324557,0.3055853956961873
low,3.0,2.0,soft,26-50,0.1748,0.16693333333333335,0.15173333333333333,0.8873333333333334,0.3282130778973547,0.3116915382691102
low,3.0,2.0,soft,51-150,0.16413333333333333,0.15446666666666667,0.15763333333333332,0.9608666666666666,0.31976776116641237,0.31403024389851264
low,3.0,3.5,hard,1-5,0.23066666666666666,0.10266666666666666,0.17600000000000002,0.06933333333333333,0.41885667477465505,0.28741404848341845
low,3.0,3.5,hard,6-10,0.1953333333333333,0.1433333333333333,0.14933333333333335,0.20266666666666666,0.36192413308013494,0.2964155580143915
low,3.0,3.5,hard,11-25,0.19622222222222221,0.16266666666666665,0.14733333333333334,0.4028888888888889,0.34009956379383793,0.30844149393992354
low,3.0,3.5,hard,26-50,0.16813333333333333,0.15906666666666666,0.15266666666666664,0.6666666666666666,0.3270700008045413,0.31568173724728404
low,3.0,3.5,hard,51-150,0.16496666666666668,0.16090000000000002,0.1571,0.8302333333333334,0.31879640845984014,0.3145723849566251
low,3.0,3.5,soft,1-5,0.23066666666666666,0.12,0.20199999999999999,0.06533333333333333,0.4137999893922173,0.2877802771743076
low,3.0,3.5,soft,6-10,0.21133333333333332,0.15933333333333333,0.12733333333333335,0.214,0.3462377910109553,0.29755850045168886
low,3.0,3.5,soft,11-25,0.20066666666666666,0.15444444444444444,0.13333333333333333,0.39666666666666667,0.33141222980814133,0.3065545334867908
low,3.0,3.5,soft,26-50,0.1728,0.16973333333333332,0.1501333333333333,0.6864,0.32467095859743256,0.3124856967897932
low,3.0,3.5,soft,51-150,0.16246666666666668,0.1581,0.15616666666666665,0.8451000000000001,0.32045177149731924,0.31391750238984567
low,10.0,2.0,hard,1-5,0.27266666666666667,0.07266666666666667,0.23399999999999999,0.7073333333333334,0.5163733253151468,0.3250347725466191
low,10.0,2.0,hard,6-10,0.32266666666666666,0.11266666666666668,0.14933333333333335,0.9186666666666666,0.47902327095031066,0.2643956407001617
low,10.0,2.0,hard,11-25,0.3148888888888889,0.10711111111111112,0.14,0.9797777777777777,0.4472161331109663,0.25440386982751995
low,10.0,2.0,hard,26-50,0.2764,0.11573333333333334,0.13773333333333332,0.9982666666666666,0.4109760144691371,0.2579433711163031
low,10.0,2.0,hard,51-150,0.21096666666666666,0.14136666666666667,0.14746666666666666,1.0,0.36332228855928916,0.28729253168354535
low,10.0,2.0,soft,1-5,0.24333333333333332,0.06733333333333333,0.22066666666666668,0.774,0.46662465221934013,0.2936925375520667
low,10.0,2.0,soft,6-10,0.2846666666666667,0.11199999999999999,0.11933333333333333,0.9513333333333333,0.4353404542385176,0.2416937654387596
low,10.0,2.0,soft,11-25,0.30844444444444447,0.12377777777777778,0.11511111111111111,0.9984444444444446,0.4234968471286999,0.24255377352469362
low,10.0,2.0,soft,26-50,0.2856,0.13973333333333332,0.12919999999999998,1.0,0.40819939263206806,0.2578815128305031
low,10.0,2.0,soft,51-150,0.22576666666666664,0.1524,0.14006666666666667,1.0,0.36331874594900493,0.28977173638532755
low,10.0,3.5,hard,1-5,0.252,0.08333333333333331,0.2553333333333333,0.6106666666666666,0.5000313111575927,0.3219306425087879
low,10.0,3.5,hard,6-10,0.318,0.11199999999999999,0.162,0.7879999999999999,0.472042137097687,0.2721497664677569
low,10.0,3.5,hard,11-25,0.28444444444444444,0.1148888888888889,0.14688888888888887,0.9144444444444444,0.44141274754602744,0.2609963460986844
low,10.0,3.5,hard,26-50,0.2592,0.11186666666666666,0.14573333333333333,0.9785333333333333,0.4092185376967135,0.2659943656595758
low,10.0,3.5,hard,51-150,0.20836666666666667,0.13586666666666666,0.15416666666666665,0.9976333333333334,0.3620688383558804,0.28926626515149584
low,10.0,3.5,soft,1-5,0.25133333333333335,0.07,0.20933333333333334,0.7133333333333333,0.46621294532192176,0.2865553785223423
low,10.0,3.5,soft,6-10,0.322,0.09466666666666666,0.13466666666666666,0.9126666666666666,0.44485197534612037,0.24248036761022645
low,10.0,3.5,soft,11-25,0.3191111111111111,0.12511111111111112,0.11111111111111112,0.9768888888888889,0.4296940583987571,0.2444743245112372
low,10.0,3.5,soft,26-50,0.29106666666666664,0.1424,0.10933333333333332,0.9967999999999999,0.4102316427894186,0.25371482820809493
low,10.0,3.5,soft,51-150,0.22669999999999998,0.1454,0.1381,1.0,0.36315006266365346,0.2860018627993327
