listener,psi_star,alpha,c,switch_type,mean_abias,abias_r150,std_150
switch,inf,3.0,3.5,hard_amnesic,0.010596477443178496,0.0005535726497570663,0.0011643996642437403
switch,inf,3.0,3.5,soft,0.0105894952854183,0.0005535726497570663,0.001164388478483606
switch,inf,10.0,2.0,hard,0.011603941297233107,0.00039431009689966856,0.0011315671197348102
switch,inf,10.0,2.0,hard_amnesic,0.011829882020122478,0.0006787152489026389,0.0015652088043717303
switch,inf,10.0,2.0,soft,0.011626393431127074,0.00039439096053441383,0.001131572771698685
switch,inf,10.0,3.5,hard,0.011611370918187832,0.00039431009689966856,0.0011315671197348102
switch,inf,10.0,3.5,hard_amnesic,0.011628512370288375,0.0003960730036099753,0.0011555769213956297
switch,inf,10.0,3.5,soft,0.0116113923771845,0.0003943098982175194,0.001131544129163941
switch,low,1.5,2.0,hard,0.034498956668542496,0.009309810891747478,0.01078569946420553
switch,low,1.5,2.0,hard_amnesic,0.041992721546623445,0.014696132605274522,0.015818439160065433
switch,low,1.5,2.0,soft,0.04255053515507116,0.0176542368978262,0.011054895577653004
switch,low,1.5,3.5,hard,0.04635517080052032,0.02021186249951522,0.008817997382401566
switch,low,1.5,3.5,hard_amnesic,0.052015445281234064,0.025981078768769907,0.01689244075747941
switch,low,1.5,3.5,soft,0.05290148113757372,0.03335642588138581,0.010389884248399994
switch,low,3.0,2.0,hard,0.04053148888346222,0.012790830314159393,0.011591925113562334
switch,low,3.0,2.0,hard_amnesic,0.044857799532214804,0.016009945968786875,0.015093990932009546
switch,low,3.0,2.0,soft,0.046538011516332634,0.022320622170964876,0.01199007065906547
switch,low,3.0,3.5,hard,0.057250240671767136,0.028267704039812092,0.009707084361638939
switch,low,3.0,3.5,hard_amnesic,0.06110123421854443,0.03664570476611455,0.017249307987057517
switch,low,3.0,3.5,soft,0.06698457193546825,0.04660516190032164,0.009789584802633726
switch,low,10.0,2.0,hard,0.052295780697431835,0.027572032675147056,0.011909200377570338
switch,low,10.0,2.0,hard_amnesic,0.05462245574053791,0.029384315912922225,0.0151916695163762
switch,low,10.0,2.0,soft,0.05703192473226124,0.035189123650391896,0.012734707434518289
switch,low,10.0,3.5,hard,0.053605549780163506,0.030584416007002197,0.011973953008103232
switch,low,10.0,3.5,hard_amnesic,0.05536033046997256,0.031895932038625084,0.014736304346563431
switch,low,10.0,3.5,soft,0.057573342965940646,0.03664218726257483,0.012382220282541614
vig,high,1.5,2.0,hard,0.027737633252176975,0.006634954889615378,0.011838090331644461
vig,high,1.5,2.0,hard_amnesic,0.027737633252176975,0.006634954889615378,0.011838090331644461
vig,high,1.5,2.0,soft,0.027737633252176975,0.006634954889615378,0.011838090331644461
vig,high,1.5,3.5,hard,0.027737633252176975,0.006634954889615378,0.011838090331644461
vig,high,1.5,3.5,hard_amnesic,0.027737633252176975,0.006634954889615378,0.011838090331644461
vig,high,1.5,3.5,soft,0.027737633252176975,0.006634954889615378,0.011838090331644461
vig,high,3.0,2.0,hard,0.030638740805023258,0.007611589804291728,0.012578595455411231
vig,high,3.0,2.0,hard_amnesic,0.030638740805023258,0.007611589804291728,0.012578595455411231
vig,high,3.0,2.0,soft,0.030638740805023258,0.007611589804291728,0.012578595455411231
vig,high,3.0,3.5,hard,0.030638740805023258,0.007611589804291728,0.012578595455411231
vig,high,3.0,3.5,hard_amnesic,0.030638740805023258,0.007611589804291728,0.012578595455411231
vig,high,3.0,3.5,soft,0.030638740805023258,0.007611589804291728,0.012578595455411231
vig,high,10.0,2.0,hard,0.031527588651577634,0.006346858541170758,0.01197032318742276
vig,high,10.0,2.0,hard_amnesic,0.031527588651577634,0.006346858541170758,0.01197032318742276
vig,high,10.0,2.0,soft,0.031527588651577634,0.006346858541170758,0.01197032318742276
vig,high,10.0,3.5,hard,0.031527588651577634,0.006346858541170758,0.01197032318742276
vig,high,10.0,3.5,hard_amnesic,0.031527588651577634,0.006346858541170758,0.01197032318742276
vig,high,10.0,3.5,soft,0.031527588651577634,0.006346858541170758,0.01197032318742276
vig,inf,1.5,2.0,hard,0.015767842033869692,0.0009718733181556065,0.00255809485605838
vig,inf,1.5,2.0,hard_amnesic,0.015767842033869692,0.0009718733181556065,0.00255809485605838
vig,inf,1.5,2.0,soft,0.015767842033869692,0.0009718733181556065,0.00255809485605838
vig,inf,1.5,3.5,hard,0.015767842033869692,0.0009718733181556065,0.00255809485605838
vig,inf,1.5,3.5,hard_amnesic,0.015767842033869692,0.0009718733181556065,0.00255809485605838
vig,inf,1.5,3.5,soft,0.015767842033869692,0.0009718733181556065,0.00255809485605838
vig,inf,3.0,2.0,hard,0.011710184639824761,0.0006170408378044741,0.0013161761402471488
vig,inf,3.0,2.0,hard_amnesic,0.011710184639824761,0.0006170408378044741,0.0013161761402471488
vig,inf,3.0,2.0,soft,0.011710184639824761,0.0006170408378044741,0.0013161761402471488
vig,inf,3.0,3.5,hard,0.011710184639824761,0.0006170408378044741,0.0013161761402471488
vig,inf,3.0,3.5,hard_amnesic,0.011710184639824761,0.0006170408378044741,0.0013161761402471488
vig,inf,3.0,3.5,soft,0.011710184639824761,0.0006170408378044741,0.0013161761402471488
