listener,psi_star,alpha,c,switch_type,theta_star,mean_abias,abias_r150,std_150
cred,low,3.0,3.5,hard_amnesic,0.7,0.03113656324413088,0.0009095686674118234,0.0035757817676009534
cred,low,3.0,3.5,hard_amnesic,0.9,0.10950283031662307,0.09999829530715945,0.00015515654880194537
cred,low,3.0,3.5,soft,0.1,0.08812527555061714,0.09645018639663855,0.004255856216881663
cred,low,3.0,3.5,soft,0.3,0.022014034403694992,0.005317329565683991,0.0073057661342924496
cred,low,3.0,3.5,soft,0.5,0.1211641704208321,0.10403447498877844,0.02078068845245677
cred,low,3.0,3.5,soft,0.7,0.03113656324413088,0.0009095686674118234,0.0035757817676009534
cred,low,3.0,3.5,soft,0.9,0.10950283031662307,0.09999829530715945,0.00015515654880194537
cred,low,10.0,2.0,hard,0.1,0.0805197932769855,0.09070365031560262,0.004454327086629443
cred,low,10.0,2.0,hard,0.3,0.024690383601685354,0.006346838821967432,0.010285759063481236
cred,low,10.0,2.0,hard,0.5,0.15210351564321253,0.14459229856729508,0.019691850966288862
cred,low,10.0,2.0,hard,0.7,0.06237307453420425,0.007150558829307544,0.0034777151404341566
cred,low,10.0,2.0,hard,0.9,0.13533023818333945,0.10047925313313805,0.0012454662801625698
cred,low,10.0,2.0,hard_amnesic,0.1,0.0805197932769855,0.09070365031560262,0.004454327086629443
cred,low,10.0,2.0,hard_amnesic,0.3,0.024690383601685354,0.006346838821967432,0.010285759063481236
cred,low,10.0,2.0,hard_amnesic,0.5,0.15210351564321253,0.14459229856729508,0.019691850966288862
cred,low,10.0,2.0,hard_amnesic,0.7,0.06237307453420425,0.007150558829307544,0.0034777151404341566
cred,low,10.0,2.0,hard_amnesic,0.9,0.13533023818333945,0.10047925313313805,0.0012454662801625698
cred,low,10.0,2.0,soft,0.1,0.0805197932769855,0.09070365031560262,0.004454327086629443
cred,low,10.0,2.0,soft,0.3,0.024690383601685354,0.006346838821967432,0.010285759063481236
cred,low,10.0,2.0,soft,0.5,0.15210351564321253,0.14459229856729508,0.019691850966288862
cred,low,10.0,2.0,soft,0.7,0.06237307453420425,0.007150558829307544,0.0034777151404341566
cred,low,10.0,2.0,soft,0.9,0.13533023818333945,0.10047925313313805,0.0012454662801625698
cred,low,10.0,3.5,hard,0.1,0.0805197932769855,0.09070365031560262,0.004454327086629443
cred,low,10.0,3.5,hard,0.3,0.024690383601685354,0.006346838821967432,0.010285759063481236
cred,low,10.0,3.5,hard,0.5,0.15210351564321253,0.14459229856729508,0.019691850966288862
cred,low,10.0,3.5,hard,0.7,0.06237307453420425,0.007150558829307544,0.0034777151404341566
cred,low,10.0,3.5,hard,0.9,0.13533023818333945,0.10047925313313805,0.0012454662801625698
cred,low,10.0,3.5,hard_amnesic,0.1,0.0805197932769855,0.09070365031560262,0.004454327086629443
cred,low,10.0,3.5,hard_amnesic,0.3,0.024690383601685354,0.006346838821967432,0.010285759063481236
cred,low,10.0,3.5,hard_amnesic,0.5,0.15210351564321253,0.14459229856729508,0.019691850966288862
cred,low,10.0,3.5,hard_amnesic,0.7,0.06237307453420425,0.007150558829307544,0.0034777151404341566
cred,low,10.0,3.5,hard_amnesic,0.9,0.13533023818333945,0.10047925313313805,0.0012454662801625698
cred,low,10.0,3.5,soft,0.1,0.0805197932769855,0.09070365031560262,0.004454327086629443
cred,low,10.0,3.5,soft,0.3,0.024690383601685354,0.006346838821967432,0.010285759063481236
cred,low,10.0,3.5,soft,0.5,0.15210351564321253,0.14459229856729508,0.019691850966288862
cred,low,10.0,3.5,soft,0.7,0.06237307453420425,0.007150558829307544,0.0034777151404341566
cred,low,10.0,3.5,soft,0.9,0.13533023818333945,0.10047925313313805,0.0012454662801625698
switch,high,1.5,2.0,hard,0.1,0.03892671455608474,0.003549016763766601,0.0025059606524659253
switch,high,1.5,2.0,hard,0.3,0.030345158258742753,0.01107395589351654,0.016699279736712924
switch,high,1.5,2.0,hard,0.5,0.04114259187546041,0.011762033402919769,0.02115013115108013
switch,high,1.5,2.0,hard,0.7,0.01893599401248828,0.002171695033709227,0.007678273766578059
switch,high,1.5,2.0,hard,0.9,0.031176617357465977,0.005810208121935548,0.0022385172266330263
switch,high,1.5,2.0,hard_amnesic,0.1,0.052061806420485184,0.017435209825634953,0.01655839324579726
switch,high,1.5,2.0,hard_amnesic,0.3,0.03095498296386666,0.01201112538576126,0.01873296790739308
switch,high,1.5,2.0,hard_amnesic,0.5,0.051222458766566385,0.016391943395137786,0.026311525345469513
switch,high,1.5,2.0,hard_amnesic,0.7,0.020588481848769737,0.00799658974011741,0.016011813907850107
switch,high,1.5,2.0,hard_amnesic,0.9,0.04616588201787739,0.009914592901865664,0.008933863424920219
switch,high,1.5,2.0,soft,0.1,0.06058539590156741,0.026504806056618684,0.013980256989221592
switch,high,1.5,2.0,soft,0.3,0.02835585057205624,0.008876112699508667,0.013773328968697266
switch,high,1.5,2.0,soft,0.5,0.054964686041076974,0.026074546078840893,0.022442266443977132
switch,high,1.5,2.0,soft,0.7,0.017401816385984443,0.0017060635487238832,0.006229416487743341
switch,high,1.5,2.0,soft,0.9,0.04725987395975327,0.022593701879183473,0.009257162778654522
switch,high,1.5,3.5,hard,0.1,0.07486926694793834,0.04304540467758973,0.0023167951537080476
switch,high,1.5,3.5,hard,0.3,0.022210626199179222,0.0059099873900413475,0.008937911057000748
switch,high,1.5,3.5,hard,0.5,0.05677832214203146,0.019546281298001608,0.01990834392151252
switch,high,1.5,3.5,hard,0.7,0.016197299004925652,0.00144324143727624,0.00567021928933779
switch,high,1.5,3.5,hard,0.9,0.058069333622852985,0.028510941068331422,0.004484128839258025
switch,high,1.5,3.5,hard_amnesic,0.1,0.08475488219575751,0.05745815858244895,0.018450684321192058
switch,high,1.5,3.5,hard_amnesic,0.3,0.02196540043784512,0.006362717151641841,0.011080658397258959
switch,high,1.5,3.5,hard_amnesic,0.5,0.06843593239453104,0.030352482696374257,0.035435730458023805
switch,high,1.5,3.5,hard_amnesic,0.7,0.016303538813855944,0.002976295351982154,0.008044403071714138
switch,high,1.5,3.5,hard_amnesic,0.9,0.0694384049077829,0.044800929228464785,0.022390700388238354
switch,high,1.5,3.5,soft,0.1,0.08688472253084184,0.07026725138227145,0.009498722471478989
switch,high,1.5,3.5,soft,0.3,0.0237274150080151,0.005226804812749221,0.007983870323732845
switch,high,1.5,3.5,soft,0.5,0.07139059064288934,0.04770607054233551,0.018625217408892544
switch,high,1.5,3.5,soft,0.7,0.016389937027295458,0.0016121969620387145,0.005331357894586593
switch,high,1.5,3.5,soft,0.9,0.06805792773101067,0.05306128561496737,0.009772923600712602
switch,high,3.0,2.0,hard,0.1,0.04137770383142763,0.014079266041517251,0.0023954352517004435
switch,high,3.0,2.0,hard,0.3,0.03802805130283038,0.007914447387059532,0.014992757749314477
switch,high,3.0,2.0,hard,0.5,0.045871177059080864,0.015894319117069244,0.023587840609252453
switch,high,3.0,2.0,hard,0.7,0.02775793021188844,0.010387846430142744,0.014122404430478734
switch,high,3.0,2.0,hard,0.9,0.038860969010326624,0.01010741690794629,0.0012687633797440867
switch,high,3.0,2.0,hard_amnesic,0.1,0.04363323352320327,0.017895785719156256,0.006583247069791772
switch,high,3.0,2.0,hard_amnesic,0.3,0.03686722635394997,0.007491150399049126,0.014589412023815385
switch,high,3.0,2.0,hard_amnesic,0.5,0.05325406002667215,0.02105649362007777,0.030109158903360366
switch,high,3.0,2.0,hard_amnesic,0.7,0.027028207912047728,0.009983059366544112,0.014077688296432219
switch,high,3.0,2.0,hard_amnesic,0.9,0.04887549728817412,0.016175641616185527,0.010082962574457118
switch,high,3.0,2.0,soft,0.1,0.04512696581085523,0.019332983344793313,0.002685525057177074
switch,high,3.0,2.0,soft,0.3,0.040083707301484216,0.010364399850368501,0.014141533196319262
switch,high,3.0,2.0,soft,0.5,0.06234246899021997,0.03832225749890009,0.024293259138357826
switch,high,3.0,2.0,soft,0.7,0.026969264556964263,0.010254745682080608,0.014035284038739822
switch,high,3.0,2.0,soft,0.9,0.05238610220617721,0.02833886245886487,0.01043511006256684
switch,high,3.0,3.5,hard,0.1,0.06484329303022889,0.04070346765220165,0.0017096850494643452
switch,high,3.0,3.5,hard,0.3,0.030989283454749317,0.005271081725756325,0.011096519424427242
switch,high,3.0,3.5,hard,0.5,0.05598229322334131,0.019492906828721363,0.023614215633521476
switch,high,3.0,3.5,hard,0.7,0.022123778232600987,0.008009185989697814,0.009675846132692338
switch,high,3.0,3.5,hard,0.9,0.07292079983154935,0.056503020723660806,0.0012019757561536912
switch,high,3.0,3.5,hard_amnesic,0.1,0.06828055061234369,0.04260586276650428,0.00490111379889413
switch,high,3.0,3.5,hard_amnesic,0.3,0.030149981173872947,0.00548722336689631,0.010974351160075457
switch,high,3.0,3.5,hard_amnesic,0.5,0.06630224992334842,0.02938638279835383,0.03280544177008172
switch,high,3.0,3.5,hard_amnesic,0.7,0.02178618430164129,0.00779703915119175,0.00965231686544333
switch,high,3.0,3.5,hard_amnesic,0.9,0.0789926135738691,0.06444996595382693,0.010256069437152368
switch,high,3.0,3.5,soft,0.1,0.07506162775390678,0.049074617897470786,0.004372924725297859
switch,high,3.0,3.5,soft,0.3,0.03540286292135716,0.009792066514492033,0.010581301283248952
switch,high,3.0,3.5,soft,0.5,0.07887345873647265,0.04752997606992722,0.022045308377710172
switch,high,3.0,3.5,soft,0.7,0.0213768577827348,0.007813490033149758,0.00980141900193606
switch,high,3.0,3.5,soft,0.9,0.08091705099741621,0.07453465263048811,0.008718880166213694
switch,high,10.0,2.0,hard,0.1,0.03128521922230721,0.0010190983613332057,0.002692487916016617
switch,high,10.0,2.0,hard,0.3,0.04348374488850435,0.006289160847663881,0.01467390912269669
switch,high,10.0,2.0,hard,0.5,0.055765822415550545,0.020242514709631603,0.021506129282837114
switch,high,10.0,2.0,hard,0.7,0.023828627894322107,0.0031912106275558813,0.00895044583321578
